tid,rafirstfive,rasecondfive,date,missing,at1ay,at1by,at1cy,at1dy,at1ey,at1fy,at1gy,at1hy,at1iy,at1jy,at1ky,at1ly,at1nn,at2,at3a,at3b,at3c,at3cr,at3d,at3e,at3f,at3g,at3h,at3hn,at3i,at3in,at4a,at4b,at4c,at4d,at4e,at4f,at4g,at4h,at4i,at4in,at5a,at5b,at5c,pabp6a,pabp6b,pabp6c,pabp6d,pabp6e,pabp6f,pabp6g,pabp6h,pabp6i,pabp6j,pabp7a,pabp7b,pabp7c,pabp7d,pabp7e,pabp7f,pabp7g,pabp7h,pabp7i,pabp7j,pabp7an,pabp7cn,pabp7dn,pabp7fn,pabp7hn,pabp7bn,pabp7en,pabp7gn,pabp7in,pabp7jn,pabp8a,pabp8b,pabp8c,pabp8d,pabp8e,pabp8f,cf9a,cf9b,cf9c,cf9d,cf9e,cf9f,cf10a,cf10b,cf10c,cf10d,cf10e,cf10f,cf10g,cf10h,cf10i,cf10j,cf10k,cf10l,cf10m,cf10n,cf10o,cf11a,cf11b,cf11c,cf11d,cf11e,cf11f,tpd12,tpd13,tpd13n,tpd14,tpd14n,tpd15,tpd15n,tpd15ys,tpd16,zlevel,tpd16ys,tpd17nn,tpd17a,tpd17ayrn,tpd17ayr,tpd17b,tpd17byrn,tpd17byr,tpd17c,tpd17cyrn,tpd17cyr,tpd17d,tpd17dyrn,tpd17dyr,tpd18,tpd18n,tpd19,tpd19n,tpd20,tpd20s,tpd21,tpd21n,tpd21yoft,tpd21yoftr,tpd21yuse,tpd22,tpd22n,tpd23a,tpd23b,tpd23c,tpd23d,tpd23e,tpd23f,tpd23g,tpd23h,tpd23hr,tpd23i,tpd23j,tpd23k,tpd23kr,tpd23l,tpd23m,tpd23mr,tpd23n,tpd23o,tpd23or,tpd23p,tpd23pr,tpd23q,tpd23r,tpd23rr,tpd23s,tpd24a,tpd24ar,tpd24b,tpd24c,tpd24cr,tpd24d,tpd24e,tpd24er,tpd24f,tpd24g,tpd24gr,tpd24h,tpd24i,tpd24ir,tpd24j,tpd24k,tpd24kr,cnes25a,cnes25b,cnes25c,cnes25d,cnes25e,cnes26a,cnes26b,cnes26c,cnes26d,cnes26e,cnes27a,cnes27b,cnes27c,cnes27d,cnes27e,cnes28a,cnes28b,cnes28c,cnes28d,cnes28e,cnes29a,cnes29b,cnes29c,cnes29d,cnes29e,cnes30a,cnes30b,cnes30c,cnes30d,cnes30e,cnes31a,cnes31b,cnes31c,cnes31d,cnes31e,cnes31f,chaos32a,chaos32ar,chaos32b,chaos32c,chaos32cr,chaos32d,chaos32e,chaos32f,chaos32fr,chaos32g,chaos32h,chaos32i,chaos32ir,chaos32j,chaos32k,chaos32kr,chaos32l,chaos32m,chaos32mr,chaos32n,chaos32o,chaos32p,chaos32q,pro33nn,pro33,pro33fam,pro33famfrq,pro33famfrqn,pro33pay,pro33payfrq,pro33payfrqn,pro34nn,pro34day,pro34daysum,pro34dayd,pro34daye,pro34dayo,pro34end,pro34endsum,pro34endd,pro34ende,pro34endo,pro35,pro35n,pro36a,pro36an,pro36angrand,pro36b,pro36bn,pro36c,pro36cn,pro36d,pro36dn,pro36e,pro36en,pro36f,pro36fn,pro36g,pro36gn,pro37a,pro37b,pro37c,pro37d,pro37mixed,pro37sum,pro37nn,ay38a,ay38b,ay38c,ay38d,ay38e,ay38f,ay38g,ay38h,ay38i,ay38j,ay38an,ay38bn,ay38cn,ay38dn,ay38en,ay38fn,ay38gn,ay38hn,ay38in,ay38jn,ay38dnr,ay38enr,ay38gnr,ay38hnr,ay39mm,ay39yyyy,ay40,ay40n,ay41,ay41n,ay43,race,black,other,hispanic,ay42,ay44,ay44n,single,divsep,widow,ay46,ay46s,ay47,ay42n,ay47n,ay45,ay48,incomesrce,ay49a,ay49b,ay49c,ay49d,ay49e,ay49f,ay49g,ay49h,ay49i,ay49an,ay49bn,ay49cn,ay49dn,ay49en,ay49fn,ay49gn,ay49hn,ay49in,meansum,age2015,at2r,zat3cmt,zat3stress,zat4stressor,znnstress,znndep,zegapp,zegsup,zsocdes,zcopact,zcopins,zcopplan,zcopactplan,zcop_mean,zfam,znnfam,znnclose,znnconflict,znnconflict7,zctrp,zdiscip,zuse,zava,zmotiv1,zmotiv2,zcbelief1,zcbelief2,zgeff,zfamfct,zchaos,zccpmr,zccee,zccpf,zccsocpos,zccsocneg
80098,ED,ED,5/13/2015, ,1,1,0,0,1,0,0,1,1,0,0,0, ,1,5,5,1,5,1,1,3,1,1, ,1, ,1,3,3,3,2,2,5,2,2, ,6,6,3,2,4,4,2,4,4,6,6,4,4,2,1,2,1,2,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,3,3,3,4,3,3,3,3, ,3,3,4,4,2,4,2,5,5, ,1,4,2,4,2,4,4,4,4,4,4,4,4,4,2,2,0,2, ,2,0, ,2, , , ,1,41,41,0, ,0,0, ,0,0, ,0,1,1,1,1,1, ,2,0, , , ,2,2,5,5,5,5,5,5,3,1,5,3,2,2,4,2,3,3,2,3,3,4,2,3,3,3,4,1,4,4,2,3,3,2,3,4,1,4,4,1,4,4,1,4,1,6,1,4,7,5,4,6,5,1,7,1,1,6,6,1,5,6,6,7,5,3,7,3,2,2,4,4,3,7,2,3,4,6,6,6,4,2,1,3,3,1,1,3,3,1,1,1,5,2,4,2,1,4,2,1,1,1,5, ,1,1,3,3,0, , , ,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,8,8,8,8,3,1,0,0,0,0,0,0,1,1,0,1,1,8, ,4,1,1,5,4,1,4,5,1,1,3,0,0,4,3,0,3,4,0,0,0,1,1,0,2,1943,1,1,2,0,5,2,1,0,0,2,1,1,0,0,0,45, ,2,2,0,6,8, ,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0, ,72,4,5,1.333333333,2.555555556,5,0,4.333333333,3.5,6,3,3,3.5,3.25,3.166666667,3.2,19.2,30.33333333,21,19,4,4,5,5,4.5,4.2,2.25,2.6,3,3.727272727,1.75,1.75,4.6,6.111111111,5.285714286,2.5
80128,FF,FF,5/13/2015, ,0,1,0,0,0,0,0,0,0,0,0,0, ,1,4,3,1,5,4,1,5,3,1, ,1, ,3,3,5,2,2,1,3,3,0,1,4,6,1,7,1,6,1,7,4,5,6,6,5,2,1,2,2,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,2,4,4,4,2,4,4,4,4,4,4,5,1,5,1,5,5,5,1,4,1,2,3,1,2,4,4,2,4,5,5,5,3,1,1,2, ,1,1,cda's,2, , , ,1,16.5,16.5,0, ,0,0, ,0,0, ,0,1,1,2,0,1, , , ,2,4,4,4,4,4,4,5,5,4,4,2,1,5,3,3,1,5,2,1,5,2,1,5,5,1,4,3,3,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,1,5,1,1,5,7,1,7,5,1,7,1,1,6,7,3,5,7,6,7,6,5,6,1,1,7,3,4,7,7,1,7,2,5,7,7,1,5,1,3,3,1,1,3,3,1,1,5,1,1,5,1,2,5,1,1,1,1,5, ,1,0, , ,0, , , ,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1, ,2,1,1,5,4,1,1,4,2,2,1,0,0,4,3,0,0,3,1,1,0,1,4,1,11,1967,1,1,2,0,5,2,1,0,0,2,3,2,1,0,0,40, ,2,2,0,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0, ,48,4,4,2.5,2.75,9,0,6,3,9,3.5,2,4,3.75,3.166666667,4,24,33,12,11,3.333333333,5,4,4.5,4,3.8,2.75,3,3.8,4,1.5625,1.25,4.4,6.222222222,5,5.5
80147,ED,ED,5/13/2015, ,0,1,0,0,1,1,0,0,0,0,0,0, ,1,5,5,1,5,1,2,3,3,1, ,1, ,5,5,3,5,1,3,4,1,1, ,7,6,1,7,3,7,1,7,4,7,7,1,7, ,1,2,2,1,2,1,2,2,1, ,1,1,1,1,1,1,1,0,1,4,3,4,4,4,3,4,4,3,3,4,4,5,1,5,1,5,5,5,1,5,2,1,2,1,1,5,5,5,5,5,5,5,3,1,1,2, , , , ,1,-5, , ,1,10,10,1,2,2,0, ,0,0, ,0,1,1,1,1,1, ,2,0, , , ,4,4,5,5,4,5,4,5,5,1,5,5, , , ,3,1,5,5,1,5,4,2,4,4,2,5,1,4,4,1,4,4,2,3,2,1,4,4,1,4,4,1,4,2,7,3,7,7,6,4,7,3,2,7,4,3,6,7,3,5,4,6,2,5,7,5,3,1,7,6,3,6,7,4,7,3,6,7,7,3,3,2,4,2,2,2,4,2,3,5,4,2,1,5,1,2,4,2,2,1,4,4, ,1,0, , ,0, , , ,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,5,4,4,2,1,0,0,0,0,0,0,0,1,0,1,1,7, , ,3,2,4,4,2,3,3,2,3, ,2,1,3,3,1,2,2,1,2,1,1,2,2,7,1960,1,1,2,0,5,2,1,0,0,2,5,3,0,1,0,10, ,1,2,1,1,1,1,1,1,1,1, ,1,1,1,1,0,0,0,0, ,0,0,0,0, ,55,4,5,1.833333333,3.111111111,14.44444444,0,7,2.25,8,4,3,4,4,3.666666667,3.666666667,22,35,10,9,5,5,5,4.5,4.75,4.8,4,4.25,3.5,3.727272727,2.25,2.875,5.6,6,5.571428571,6
80171,ED,ED,5/13/2015, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,5,5,1,5,2,1,4,3,2, ,4, ,3,3,3,3,2,3,3,3,2, ,6,6,4,5,3,5,1,5,5,5,5,5,5,1,2,1,2,2,2,2,2,1,2,0,0,1,1,1,0,0,0,1,0,4,2,4,4,4,2,3,3,4,4,4,3,5,2,5,1,4,5,5,2,4,2,5,4,2,2,5,2,2,3,4,4,4,3,1,1, , ,2,0, ,2, , , ,1,32,32,0, ,0,0, ,0,0, ,0,1,1,2,0,1, ,2,0, , , ,3,3,2,3,1,1,3,1,3,2,4,1,4,1,5,4,1,5,5,1,5,3,3,4,3,3,3,1,4,4,1,4,3,1,4,3,1,4,4,1,4,3,1,4,6,6,1,3,6,6,1,4,2,1,7,1,2,3,6,1,7,7,4,4,6,2,5,2,1,5,2,4,6,6,4,6,1,1,6,6,2,4,2,4,2,2,1,2,4,1,1,4,2,1,4,2,3,2,4,2,1,1,5, ,0,1,2,2,0, , , ,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,7,7,7,7,0,0,0,0,1,1,0,0,1,1,1,0,1,3, ,2,2,3,4,4,1,5,4,2,1,1,1,2,3,3,0,4,3,1,0,1,1,0,1, , ,1,1, , ,2,1,0,0,0,2,1,1,0,0,0,55, ,2,2,0,9,11, ,1,1,1,1,2,2,1,1,2,0,0,0,0,1,1,0,0,1, , ,4,5,2.666666667,2.777777778,8,3,5,3.5,4,4,2,4,4,3.333333333,3.5,21,33,20,19,2.333333333,4,2.5,3.5,1.5,1.4,4.25,4,4.2,3.727272727,2.0625,1.25,3.4,5.888888889,3.714285714,5.25
80177,ED,ED,5/19/2015,23,0,1,0,0,0,0,0,0,0,0,0,0, ,1, , , , , , , , , , , , , , , ,4, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , ,2,0,2,0, ,2, , , ,1,11,11,0, ,0,1,3,3,0, ,0, , , , , , , , , , , ,4,4,4,5, ,4, ,5,4, , ,5, ,1,5,1,1,5,4,1,5,1,5,3,1,5, , , ,4, , , ,1,4,1, , , ,4,1,4,1,4, , , , ,7,7, , , , , , , ,7, , , ,7, , , , , , , , , , , ,6, , , , , ,6,1,5,1,3,3,1,1,2,4,1,1,2,4,1,4,2,4,4,2, ,1,1,4, ,0,0, , ,1,4,4, ,1,1,1,0,0,0,0,0,0,0,1,1,6,6,6,-99, ,6,6,1,1, , ,0,0, , ,1,1,0,0,1,2, ,2,3,2,2,3,3, ,3,3,2,1,2,1,1,2,2, ,2,2,1,3,2, ,2,10,1951,1,1,2,0,5,2,1,0,0,2,6,4,0,0,1,40, ,2,2,0,1, , ,1,4,1,2,1,1,1,1,1,0,3,0,1,0,0,0,0,0, ,64,4, , ,4,17.77777778,4, , , , , , , , , , , , , , , ,4.5, ,4.333333333,4.5,2.666666667,2.666666667,5,3,2.133333333, ,7,7,6, 
90009,ED,ED,5/13/2015, ,1,1,0,1,0,0,0,0,0,0,1,1, ,1,5,5,1,5,1,1,1,1,1, ,1, ,1,3,3,3,3,3,3,1,1, ,7,7,4,6,4,6,4,4,4,4,4,4,4,1,2,1,2,2,2,1,2,1,1,0,0,1,1,1,0,0,1,1,1,4,4,4,4,4,4,3,3,4,4,4,4,5,3,5,1,5,5,5,1,5,2,4,2,2,2,5,4,4,4,5,5,5,3,1,1, , ,2,0, ,3,-1, , ,1,7,7,0, ,0,0, ,0,0, ,0,1,1,1,1,4, ,2,0, , , ,4,4, , , , ,1, ,5, , ,3,3,2,4,3,2,4,3,2,4,2,4,3,2,4,3,1,4,4,3,2,4,1,4,3,1,4,4,1,4,3,1,4,4,6,4,6,4,5,2,7,7,1,7,1,1,7,7,1,7,7,7,7,7,7,5,1,1,7,7,7,7,7,7,7,7,7,7,7,4,2,2,4,2,1,1,3,3,1,1,5,1,1,5,1,1,5,1,1,1,1,5, ,1,0, , ,0, , , ,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,5,5,5,5,0,0,0,0,1,1,0,0,1,1,0,0,1,2, ,2,2,2,5,5,1,5,4,2,2,1,1,1,4,4,0,4,3,1,1,0,0,0,1,2,1967,1,1,2,0,2,1,0,0,0,2,1,1,0,0,0,55, ,2,2,0,7,11, ,2,1,1,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0, ,48,4,5,1,2.333333333,6,2,4.666666667,4,6,4,4,4,4,4,3.666666667,22,35,17,16,4,5, ,1,5,4,3,3,4,3.636363636,1.3125,1.5,6.8,6.111111111,7,7
90012,ED,ED,5/13/2015, ,0,0,0,0,0,0,1,1,0,0,0,0, ,1,5,5,1,5,1,1,1,1,1, ,1, ,3,1,1,3,4,3,3,1,1, ,7,7,1,7,1,7,1,7,4,7,7,4,7,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,0,1,0,1,4,4,4,4,4,4,4,4,4,4,4,4,5,2,5,1,5,5,5,1,5,1,1,2,1,3,4,5,3,5,5,5,5,3,1,1, , ,1,1,lisc. Child care provider,2, , , ,1,17,17,0, ,0,0, ,0,0, ,0,1,1,1,1,1, ,1,1,1,5,5,3,3,5,5,5,5,5,5,3,2,4,3,5,3,3,3,2,4,5,1,5,4,2,5,5,1,5,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,7, , , , , , ,7, , , , , ,7, , ,7, , , , ,7, , , , , , ,7, , , ,7, , , ,3,3,1,4,2,1,3,3,3,1,1,5,1,2,5,1,3,4,2,1,1,1,3, ,1,0, , ,0, , , ,1,0,0,0,0,0,0,0,0,0,2,0, , , ,-99, , , , , , , , , , , ,0,1,0,0,0,1, ,3,2,2,5,5,2,5,5,2,2,2,1,1,4,4,1,4,4,1,1,0,0,0,0,11,1937,1,1,2,0,3,3,0,1,0,2,6,4,0,0,1,52.5,52.5,2,2,0,8,7, ,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0, ,78,4,5,1,2.222222222,7,0,7,2.5,8,4,4,4,4,4,4,24,34,12,11,4.333333333,5,5,4.5,4.5,4.2,4.5,4.6,3,4,1.6875, ,7, ,7,7
90019,ED,ED,5/13/2015, ,0,1,0,0,1,1,0,1,1,1,0,0, ,1,5,5,2,4,1,2,2,2,0,1,0,1,3,3,1,2,1,2,2,2,3, ,7,7,1,4,4,4,2,6,2,6,5,5,4,1,1,2,2,1,2,1,2,2,2,0,1,1,1,1,1,1,1,0,0,4,3,3,4,4,4,3,3,4,4,4,3,5,1,3,1,5,5,5,1,5,2,1,2,1,2,5,5,5,5,5,5,5,7,1,1,1,1,1,1,dept of human services ba in teaching education mst w/ montessori credential,2, , , ,1,1,1,1,31,31,0, ,0,0, ,0,1,1,1,1,3, ,2,0, , , ,4,4,5,5,5,5,4,3,2,3,3,2,4,2,4,4,3,3,5,1,5,3,3,4,1,5,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,2,7,2,6,7,6,1,6,2,1,7,1,1,7,7,1,4,5,5,2,7,6,7,1,1,5,7,5,6,7,2,3,4,5,4,2,5,1,2,5,1,1,1,5,1,1,1,4,2,1,5,1,1,5,1,2,1,1,4, ,0,1,1,1,0, , , ,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,6,6,6,6,2,1,0,0,0,0,0,0,0,0,1,0,0,1, ,1,1,1,5,4,2,5,5,1,1,0,0,0,4,3,1,4,4,0,0,0,1,0,0,9,1951,1,1,2,0,2,1,0,0,0,2,1,1,0,0,0,50,37.5-50,2,2,0,8,10, ,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0, ,64,4,4.666666667,1.75,2.111111111,2,0,4.833333333,3.25,7,4,3.5,3.5,3.75,3.666666667,3.5,21,33,11,10,5,5,5,3.5,3.75,3.4,4.25,4.2,4,4,1.1875,1.125,5,6.444444444,4.857142857,4
90030,ED,ED,5/13/2015, ,0,1,0,0,0,0,0,0,0,0,0,1, ,1,3,5,1,5,1,3,1,3,0,1,0,1,5,4,3,2,2,2,2,2,1, ,6,7,4,5,6,5,2,5,2,5,5,2,5,1,1,1,2,2,2,1,1,1,1,0,0,1,1,0,1,0,1,1,1,3,3,3,4,3,3,4,4,4,3,4,3,5,2,5,1,5,5,4,2,4,2,3,4,1,1,3,3,2,2,5,5,5,7,1,1,2,0,2,0, ,2, , , ,1,32,32,0, ,0,0, ,0,0, ,0,1,1,1,1,2, ,2,0, , , ,2,2,5,5,2,3,4,3,2,2,4,2,4,1,5,4,4,2,4,3,3,2,4,4,4,2,5,1,4,4,1,4,4,3,2,3,1,4,4,2,3,3,2,3,6,7,5,6,6,7,4,5,5,3,7,3,3,5,7,1,3,6,6,7,7,7,7,3,1,6,6,5,7,7,6,7,7,6,7,7,3,3,2,5,1,1,1,3,3,3,2,4,2,1,5,1,1,4,2,1,1,1,5, ,0,1,4,4,0, , , ,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,6,6,6,6,0,0,1,1,0,0,0,0,1,1,1,0,1,3, ,3,4,3,4,4,1,4,4,3,1,2,3,2,3,3,0,3,3,2,0,1,1,1,1,10,1953,1,1, , ,3,3,0,1,0,2,5,3,0,1,0,50, ,2,2,0,8,9, ,2,1,1,1,1,3,1,1,1,1,0,0,0,0,2,0,0,0, ,62,4,4.333333333,2,2.555555556,13,3,5,3,6,3,3,3.5,3.25,3.166666667,3.666666667,22,31,16,15,2.333333333,5,5,4,2.5,2.4,4,4.2,3.2,3.454545455,1.625,2.875,5.2,6.666666667,6.428571429,6.5
10011,LJ,LJ,4/28/2015, ,0,0,0,0,0,0,1,0,0,0,0,0, ,1,4,4,1,5,1,1,1,1,1, ,1, ,1,1,1,1,1,1,1,1,1, ,6,6,1,6,4,6,1,6,4,6,6,6,6,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,1,4,1,5,5,5,1,5,1,1,3,1,1,5,4, , ,4,4,4,2,1,1,2, ,2,0, ,2, , , ,1,3.5,3.5,0, ,0,0, ,0,0, ,0,1,1,1,1,2, ,2,0, , , ,4,4,4,4,4,4,4,4,3,2,4,3,3,3,3,2,1,5,1,1,5,1,5,4,1,5,3,1,4,3,1,4,3,1,4,3,1,4,3,1,4,3,1,4,2,5,2,2,5,2,2,3,3,1,5,2,2,5,5,2,2, ,3,3,3,2,3,2,2,5,5,5,5,5,2,5,5,5,6,6,4,2,3,4,2,2,2,2,4,2,2,4,2,2,3,3,2,3,3,2,2,2,4, ,1,0, , ,0, , , ,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,4,4,6,6,3,1,0,0,0,0,0,0,0,0,0,1,0,1, ,2,2,2,4,4,2,4,4,2,2,1,1,1,3,3,1,3,3,1,1,1,1,1,1,5,1954,1,1,2,0,2,1,0,0,0,3,5,3,0,1,0,30,20-30,1,3,1,3,8, ,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0, ,61,4,4.333333333,1,1,10,0,6,3.75,9,3,3,3,3,3,3,18,34,10,9,4,4,4,4,3.75,3.6,2.5,2.6,4.6,3.545454545,2.3125,1.875,2.8,3.875,5.285714286,4.25
110044,ED,ED,5/8/2015, ,0,1,0,0,0,0,0,0,0,0,0,1, ,4,5,5,5,1,1,1,1,4,1, ,5, ,5,4,5,5,2,3,3,2,1, ,6,6,2,4,5,5,2,6,3,5,4,5,5,1,1,2,2,2,2,1,1,1,1,0,1,1,1,0,1,0,1,1,1,4,4,4,3,4,4,4,4,4,4,4,2,5,2,5,1,5,5,4,1,4,1,2,2,1,1,5,4,5,5,4,4,4,5,1,1,2,0,2,0, ,2, , , ,1,2,2,0, ,0,0, ,0,0, ,0,1,1,2,0,2, ,2,0, , , ,4,4,4,5,4,4,5,5,2,2,4,3,3,3,3,3,4,2,5,3,3,2,4,3,3,3,5,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,7,5,1,6,5,7,1,7,7,1,7,1,1,7,7,1,7,7,7,6,7,7,7,1,1,2,7,6,2,7,1,1,7,7,7,7,4,2,2,4,2,2,2,3,3,2,2,4,2,2,4,2,2,4,2,1,1,1,5, ,1,0, , ,0, , , ,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,6,6,6,6,1,1,0,0,1,1,0,0,1,1,1,0,1,3, ,2,2,3,4,4,2,4,4,1,2,1,1,2,3,3,1,3,3,0,1,1,1,1,1,5,1986,1,1,2,0,2,1,0,0,0,3,1,1,0,0,0,50, ,2,3,0,6,11, ,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0, ,29,1,3.666666667,2.166666667,3.333333333,10,0,4.833333333,3.75,7,4,4,3.5,3.75,3.833333333,3.666666667,22,33,11,10,4.666666667,4,4.5,4.5,3.75,3.6,3.5,3.8,3,4,1.875,1,6.8,6.555555556,6.857142857,1.5
110050,ED,ED,5/8/2015, ,0,0,0,0,0,0,0,0,0,1,0,0, ,1,5,5,1,5,1,1,4,3,4, ,4, ,3,4,2,5,3,3,5,3,2, ,7,7,3,5,5,6,2,2,3,6,6,6,6,1,1,2,2,2,2,1,2,1,1,0,1,1,1,1,1,0,1,1,1,3,3,3,3,3,3,4,4,3,4,3,2,5,2,5,1,5,5,5,1,4,2,3,2,2,2,4,4,4,4,4,4,4,2,2,0,2, ,2,0, ,2, , , ,1,25,25,1,2,2,1,2,2,1,3,3,1,1,2,0,4, ,1,1,1,5,4,3,3,3,3,2,3,3,2,5,3,3,2,4,2,4,3,1,5,3,1,5,3,3,3,4,2,4,2,3,4,1,4,4,1,4,4,1,4,3,1,4,4,1,4,6,4,2,5,3,5,2,5,4,1,5,1,1,5,5,1,3,3,4,4,4,4,5,2,1,6,4,4,6,6,4,6,7,6,7,7,4,2,2,4,2,1,1,4,2,2,1,4,2,1,3,3,3,4,2,1,1,1,5, ,1,0, , ,0, , , ,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,6,6,6,6, , , , , , , , ,0,1,1,0,1,5, ,2,2,3,5,5,2,4,4,3,2,1,1,2,4,4,1,3,3,2,1,0,0,1,1,5,1967,1,1, , ,2,1,0,0,0,3,1,1,0,0,0,55, ,2,3,0,10,11, ,1,1,1,1,1,3,1,1,1,0,0,0,0,0,2,0,0,0, ,48,4,5,2.833333333,3.333333333,10,2,5.166666667,4,8,3,3,3,3,3,3.333333333,20,33,15,14,4,4,3,3,3,2.8,3.25,3.4,3.8,3.818181818,1.6875,1.375,4.2,4.222222222,5.857142857,5.5
110065,ED,ED,5/8/2015, ,0,1,0,1,0,1,0,0,0,0,1,1, ,1,3,5,1,5,1,1,3,3,2, ,5, ,5,5,5,5,5,5,2,4,0,1,5,7,5,7,5,7,1,7,4,7,7,3,7,1,1,1,2,2,2,1,1,1,2,0,0,1,1,0,1,0,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,5,1,5,1,5,5,5,1,2,2,4,4,2,1,5,5,3,3,5,5,5,3,1,1, , ,2,0, ,2, , , ,1,5,5,0, ,0,1,10,10,0, ,0, , ,2,0,1, ,2,0, , , ,4,4,5,5,5,5,5,3,5,1,5,5, ,1,5,4,4,2,4,2,4,1,5,1,3,3,5,1,4,4,1,4,4,1,4,4,1,4,4,1,4,4,1,4,7,7,7,7,7,7,1,7,7,1,7,1,1,7,7,1,7,7,7,7,7,7,7,1,1,7,7,7,7,7,1,7,7,7,7,7,1,5,1,5,1,1,1,5,1,1,1,5,1,1,5,1,3,5,1,1,1,1,5, ,1,0, , ,0, , , ,1,3,1,1,1,1,3,1,1,1,1,1,2,2,2,4,4,4,4,2,1,0,0,0,0,0,0,0,0,0,1,0,1, ,3,2,3,4,4,3,4,4,3,3,2,1,2,3,3,2,3,3,2,2,1,1,1,1, , ,1,1,2,0,5,2,1,0,0,3,3,2,1,0,0,8, ,2,3,0,2,2,1,2,1,1,1,1,4,1,1,1,1,0,0,0,0,3,0,0,0, , ,4,4.333333333,2.5,4.5,15,4,7,3.25,5,4,4,4,4,4,4,24,32,16,15,3.666666667,5,5,5,4.5,4.6,3,3.5,3.8,4,1.375,1.75,7,7,7,5.5
110076,ED,ED,5/8/2015, ,1,1,0,0,0,0,0,0,1,1,0,1, ,1,5,5,1,5,1,1,3,4,1, ,3, ,3,3,1,3,1,3,3,3,1, ,6,6,5,7,7,7,1,7,4,7,7,4,7,2,1,2,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,3,2,3,4,4,2,4,4,4,4,4,4,5,2,5,2,4,5,5,2,4,2,3,2,2,2,5,5,5,5,5,5,5,4,1,1,1,1,2,0, ,3,-1, , ,1,2,2,1,5,5,0, ,0,1,6,6,1,1,2,0,2, ,1,1,3,3,5,4,4,5,5,5,5,5,3,5,4,2,5,5,1,5,3,4,2,2,1,5,1,5,3,3,3,5,1,4,4,4,1,4,1,4,4,1,4,4,1,4,4,1,4,7,7,1,7,7,7,1,7,7,1,7,1,1,7,7,1,7,7,7,7,7,7,7,1,1,1,7,7,7,7,6,4,7,7,7,7,3,3,1,5,1,1,1,3,3,2,1,5,1,3,5,1,1,4,2,1,1,1,5, ,1,0, , ,0, , , ,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,7,7,6,6,0,0,0,0,1,1,0,0,0,1,0,0,0,1, ,3,2,2,4,4,2,5,4,3,1,2,1,1,3,3,1,4,3,2,0,1,1,0,1,11,1985,1,1,2,0,2,1,0,0,0,3, , , , , ,60,50-60,2,3,0,4,5, ,1,1,1,1,1,2,1,1,1,0,0,0,0,0,1,0,0,0, ,30,4,5,2.166666667,2.333333333,10,1,7,4,8,3.5,2,3.5,3.5,3,4,24,33,17,15,5,5,5,3.5,4.5,4.6,3.25,3.6,4,3.727272727,1.5,1,7,7,7,4.5
